ac7159a399da76d9d681a464272a496e,9c278da3b77d5d33967a8a5fa8db6d17,61da9d26348bee7ecff6167bd9861dbd,063846007433,37.396132,-121.991121,Sunnyvale,CA,94089,urban,Sunnyvale School District,Santa Clara,f,f,f,f,f,f,Mrs.,f,f,Gym & Fitness,Health & Sports,Health & Wellness,Health & Sports,Supplies,high poverty,Grades PreK-2,30.00,342.92,403.44,150,f,f,2014-05-11
212a864ae945c8f5e7edfcf13159bbee,80f3e03d86015d4fcbbbcae216dbe7e0,1d377de62a5f0a762907b95550a3f3b3,481830005985,31.850382,-106.426274,El Paso,TX,79904,urban,El Paso Ind School District,El Paso,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,,,Supplies,highest poverty,Grades PreK-2,30.00,498.75,586.76,15,f,f,2014-05-11
fe9c812599c71f7c6b8c2e886c4ba2be,b5b72a5fb6f17be9526e0522a79c50ac,de83893fe74aaa9a6e291488185d47a7,530396000614,47.385975,-122.208748,Kent,WA,98031,urban,Kent School Dist 415,King,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,Health & Life Science,Math & Science,Supplies,highest poverty,Grades PreK-2,30.00,330.68,389.04,23,f,f,2014-05-10
23a24c08c6b647c7099abc566af82dbc,44fa9de6bc9ecd72f14950fa904d9e44,d44e459d500c465400cd311f4c4284b3,340459000013,40.652845,-74.198524,Elizabeth,NJ,07206,suburban,Elizabeth School District,Union,f,f,f,f,f,f,Mrs.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Supplies,highest poverty,Grades 3-5,30.00,414.62,487.79,25,f,f,2014-05-10
1e48de2a6b6c47e048bd463df75eb990,f760e4d2630c1ee90baa499c8803424e,a9af25973d27132cee5027e58d5cfc6a,062271012439,34.059674,-118.244674,Los Angeles,CA,90012,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,30.00,524.38,616.92,150,f,f,2014-05-10
ec066124cca4060a607993bc527499d3,46a132ad057e8c971793c7d1443f9a52,c7e85779f9da722fa10d0e4ec5f050e7,360012002572,40.675881,-73.869535,Brooklyn,NY,11208,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades 3-5,30.00,387.12,455.44,28,f,f,2014-05-10
467e183958ea358f951e84fed6280a46,4ff8cdb0342deabf71900c99fb564601,f51262784198b0684f24054f3a17ee63,402025002705,35.323464,-97.459378,Moore,OK,73160,suburban,Moore School District I-2,Cleveland,f,f,f,f,f,f,Mrs.,f,f,Early Development,Applied Learning,,,Technology,moderate poverty,Grades PreK-2,30.00,1120.98,1318.80,24,f,f,2014-05-09
66b9ed353c54960514ba3ed65620646b,c6c4e3da62d38c5f5081d49b15bb9b04,8327601f6fd13284f24871ae0f66c854,320006000679,36.280243,-115.141813,N Las Vegas,NV,89084,rural,Clark Co School District,Clark,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Other,Applied Learning,Supplies,high poverty,Grades PreK-2,30.00,163.55,192.41,20,f,f,2014-05-09
3baa35dc3f5f6022172e760a2466e20a,a37a72abdd2f15e3773ea7229ad5af77,3e37ae8bc899e1e432dffc5ece9ef47e,362475004424,43.170959,-77.601959,Rochester,NY,14605,urban,Rochester City School District,Monroe,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,Literacy,Literacy & Language,Books,highest poverty,Grades PreK-2,30.00,206.06,242.42,6,f,f,2014-05-08
228778a7eb5851c0a319e831c05a35ac,b36715f23577ba239d87f297033ac6dd,160049502b4c6ff84849783ca4441e2e,120087001009,27.956575,-82.518990,Tampa,FL,33607,urban,Hillsborough Co Pub Sch Dist,Hillsborough,f,t,f,f,f,f,Mrs.,f,f,Applied Sciences,Math & Science,Literacy,Literacy & Language,Books,high poverty,Grades 6-8,30.00,482.69,567.87,110,f,f,2014-05-05
