2b28b6647b8297597496630d2efcfb5c,fffeaae9482c9b72cab5bbd3f061d362,7,AKJ Books,Books,"I Spy A to Z Jean Marzollo, Walter Wick",9780545107822,10.91,1
523e537669a02e2acf6d6bdc75561673,ffaad8881abbd1b2464342768afcda79,178.0,Quill.com,Supplies,Brother Refurbished MFC8680DN Mono Laser Multifunction Machine,901-EMFC8680DN,299.99,1.0
abf9a32c1b0f80061e05266070b56ace,ff99d49f8c8d53a84d05b335f07087da,7.0,AKJ Books,Books,Nicolaus Copernicus,9780756510589,4.64,1.0
d8d8bfa6c3e45487ce09bd0f36d4e42d,ff240555d65537684d71d88f4af39b3a,757.0,Teachers' School Supply,Books,Hayes School Publishing - Lets Learn Spanish Gr 6 Workbook,H-BR726,6.95,1.0
ace476c903b954fb3bba34cbd90b80a6,fe15df0c69f5c1a260f442a060860cb5,767.0,Lakeshore Learning Materials,Supplies,LA446 - Super-Safe Eyedroppers - Set of 12,LA446,4.99,1.0
fcebfc683d5e047117d7233ae1d6bb19,fd97a4d0e095804623864a0fff7bd134,178.0,Quill.com,Other,"Nature Valley Granola Bars Crunchy Peanut Butter, 28/Box",901-23840,17.09,1.0
83d2095b6e9778202ec02c0754d1eeb9,fcb88a98b7778f44677d9dba789843fe,178.0,Quill.com,Supplies,"HAMMERMILL COLOR COPY PAPER 8-1/2""X11"" -- HammerMill  Color Copy and Laser Paper; 8-1/2x11"", 5-Ream Case",190-102450,75.23,2.0
3e18706c568453732eab089f29e2f025,fca4ec4eeda3e886d061114a43ef1878,7.0,AKJ Books,Books,The Chick That Wouldn''t Hatch,9780152048310,2.92,1.0
224f1d6087664d6798a4af1fc9ac8c13,fc9e6e3695a35c8e8430e3467fcc863b,178.0,Quill.com,Technology,HP COLOR LJ 2600 PRINT CARTRIDGE; BLACK -- HP Q6000A Print Cartridge for LJ2600; Black,181-Q6000A,74.69,1.0
6855727a1679d11706248ff723e8a6ed,fc56cae059321022125f30dee4ce52da,7.0,AKJ Books,Books,Look Out for Turtles,9780064451567,4.37,1.0
4db9efee0fb2ff1941b5285bc690dfd0,fc4426a67fb5b3667ab98e8a657bde15,758.0,Barnes and Noble,Technology,"Kaplan Scholarships 2011 Kaplan, R. David Weber, Douglas Bucher (Introduction)",9781419550058_BK,23.76,1.0
02f2581595da3156e0ae62b37f3cd499,fc3e0e0cadd858eb46045551d92afd99,767.0,Lakeshore Learning Materials,Books,DD933 - Literature Magnetic Teaching Charts,DD933,19.99,1.0
9f829d40b14758feb0cb9d05bf102510,fc298e41987a29df47b7b168be3534f3,767.0,Lakeshore Learning Materials,Supplies,FF509 - Mobile Media Cart,FF509,229.0,1.0
cd0368337edb9765ac12e5749c8c3c27,fc0297a0c13c4c85c9622e079a143747,188.0,Office Depot,Technology,"HP 92/93 Inkjet Cartridges Model C9513FN#140, Combo Pack",108799,33.99,1.0
ac7e4afe458aac09754ea48b520c0e7e,fb91db9007c6fe7210eec6a7afea0cff,95.0,Carolina Biological Supply Company,Supplies,Alternative Energy for Dummies Book,451011,19.79,2.0
c6c1381863a543d0dec577c9befa40de,fb0e4bbe7c2651f61522168bcb145fa4,82.0,Best Buy for Business,Technology,Epson DC-06 Document Camera - document camera,BB11113850,396.99,1.0
f32b2e14bcf620a6225d46785e0f1f78,fac8ace8273ca41a5f0ed232aeb05f6d,7.0,AKJ Books,Books,Life in the Rainforests,9780590461313,4.43,1.0
